Source : France Travail - STMT, Données brutes
Ploemeur 56270; 1 140
Ploeren 56880;  490
Ploërmel 56800;  850
Plonéour-Lanvern 29720;  530
Plouay 56240;  350
Ploudalmézeau 29830;  400
Ploufragan 22440; 1 050
Plougastel-Daoulas 29470;  960
Plouguerneau 29880;  540
Plouhinec 56680;  470
Plouigneau 29610;  340
Ploumagoar 22970;  370
Plouzané 29280;  780
Pluneret 56400;  490
Pluvigner 56330;  620
Pointe-à-Pitre 97110; 2 790
Pointe-Noire 97116;  910
Poissy 78300; 3 890
Poisy 74330;  650
Poitiers 86000; 8 930
Pollestres 66450;  570
Pont-à-Mousson 54700; 1 380
Pontarlier 25300; 1 830
Pont-Audemer 27500; 1 140
Pontault-Combault 77340; 3 040
Pontcharra 38530;  620
Pontchâteau 44160;  880
Pont-de-Chéruy 38230;  600
Pont-du-Château 63430;  850
Pont-Évêque 38780;  580
Pontivy 56300; 1 200
Pont-l'Abbé 29120;  790
Pont-l'Évêque 14130;  410
Pontoise 95000; 3 220
Pont-Sainte-Marie 10150;  610
Pont-Sainte-Maxence 60700; 1 270
Pont-Saint-Esprit 30130; 1 220
Pont-Saint-Martin 44860;  410
Pordic 22590;  490
Pornic 44210; 1 340
Pornichet 44380;  990
Port-de-Bouc 13110; 1 900
Portes-lès-Valence 26800;  920
Portet-sur-Garonne 31120;  870
Port-la-Nouvelle 11210;  730
Port-Louis 97117;  970
Porto-Vecchio 20137; 1 830
Port-Saint-Louis-du-Rhône 13230;  940
Pourrières 83910;  350
Poussan 34560;  630
Pouzauges 85700;  430
Prades 66500;  800
Prades-le-Lez 34730;  490
Prévessin-Moëns 01280;  520
Privas 07000;  920
Provins 77160; 1 320
Publier 74500;  680
Puget-sur-Argens 83480;  980
Puilboreau 17138;  550
Pulnoy 54420;  380
Puteaux 92800; 3 610
Quesnoy-sur-Deûle 59890;  430
Questembert 56230;  640
Quetigny 21800;  900
Quéven 56530;  570
Quiévrechain 59920;  750
Quimper 29000; 6 290
Quimperlé 29300; 1 230
Quincy-sous-Sénart 91480;  760
Quincy-Voisins 77860;  350
Quint-Fonsegrives 31130;  390
Rabastens 81800;  660
Raismes 59590; 1 650
Rambervillers 88700;  520
Rambouillet 78120; 1 780
Ramonville-Saint-Agne 31520; 1 490
Raon-l'Étape 88110;  770
Redon 35600; 1 030
Reichshoffen 67110;  430
Reignier-Ésery 74930;  650
Reims 51100; 20 810
Remiremont 88200;  820
Remire-Montjoly 97354; 1 870
Rennes 35000; 25 150
Rethel 08300;  770
Revel 31250; 1 030
Revin 08500;  880
Reyrieux 01600;  330
Rezé 44400; 4 230
Riantec 56670;  500
Riedisheim 68400; 1 040
Rillieux-la-Pape 69140; 3 010
Riom 63200; 1 980
Riorges 42153;  960
Ris-Orangis 91130; 3 030
Rive-de-Gier 42800; 1 600
Rives 38140;  500
Rivesaltes 66600; 1 250
Rives-du-Loir-en-Anjou 49140;  370
Rivière-Pilote 97211; 1 680
Rivière-Salée 97215; 1 650
Rixheim 68170; 1 220
Roanne 42300; 4 270
Rocbaron 83136;  450
Rochefort 17300; 2 770
Rochefort-du-Gard 30650;  640
Roche-la-Molière 42230;  820
Rodez 12000; 2 290
Rognac 13340; 1 060
Roissy-en-Brie 77680; 1 820
Romagnat 63540;  510
Romainville 93230; 4 050
Romans-sur-Isère 26100; 4 180
Rombas 57120;  970
Romilly-sur-Seine 10100; 2 110
Romorantin-Lanthenay 41200; 1 700
Ronchin 59790; 2 040
Roncq 59223; 1 050
Roost-Warendin 59286;  620
Roquebrune-Cap-Martin 06190; 1 180
Roquebrune-sur-Argens 83520; 1 670
Roquefort-la-Bédoule 13830;  420
Roquefort-les-Pins 06330;  490
Roquemaure 30150;  590
Roques 31120;  530
Roquevaire 13360;  810
Rosheim 67560;  330
Rosières-près-Troyes 10430;  290
Rosny-sous-Bois 93110; 5 220
Rosny-sur-Seine 78710;  740
Rosporden 29140;  670
Roubaix 59100; 16 520
Rouen 76000; 13 700
Rousset 13790;  510
Roussillon 38150;  850
Rouvroy 62320;  990
Royan 17200; 1 910
Roye 80700;  760
Rueil-Malmaison 92500; 5 570
Ruelle-sur-Touvre 16600;  690
Rumilly 74150; 1 350
Rungis 94150;  330
Sablé-sur-Sarthe 72300; 1 380
Sainghin-en-Weppes 59184;  340
Sains-en-Gohelle 62114;  550
Saint-Affrique 12400;  630
Saint-Alban 31140;  690
Saint-Alban-Leysse 73230;  470
Saint-Amand-les-Eaux 59230; 1 640
Saint-Amand-Montrond 18200;  850
Saint-André 97440; 9 930
Saint-André-de-Cubzac 33240; 1 340
Saint-André-de-la-Roche 06730;  390
Saint-André-de-Sangonis 34725;  700
Saint-André-des-Eaux 44117;  470
Saint-André-les-Vergers 10120; 1 330
Saint-André-lez-Lille 59350; 1 080
Saint-Apollinaire 21850;  520
Saint-Arnoult-en-Yvelines 78730;  340
Saint-Astier 24110;  460
Saint-Aubin-de-Médoc 33160;  470
Saint-Aubin-lès-Elbeuf 76410;  800
Saint-Avé 56890;  820
Saint-Avertin 37550;  920
Saint-Avold 57500; 1 820
Saint-Barthélemy-d'Anjou 49124;  970
Saint-Benoît 86280;  500
Saint-Benoît 97470; 7 290
Saint-Berthevin 53940;  500
Saint-Bonnet-de-Mure 69720;  370
Saint-Brevin-les-Pins 44250; 1 040
Saint-Brice-sous-Forêt 95350; 1 210
Saint-Brieuc 22000; 5 620
Saint-Cannat 13760;  540
Saint-Chamas 13250;  770
Saint-Chamond 42400; 3 800
Saint-Chéron 91530;  340
Saint-Christol-lès-Alès 30380;  790
Saint-Claude 39200;  890
Saint-Claude 97120; 1 090
Saint-Clément-de-Rivière 34980;  320
Saint-Cloud 92210; 1 690
Saint-Cyprien 66750; 1 590
Saint-Cyr-au-Mont-d'Or 69450;  410
Saint-Cyr-l'École 78210; 1 620
Saint-Cyr-sur-Loire 37540; 1 360
Saint-Cyr-sur-Mer 83270; 1 030
Saint-Denis 93200; 13 630
Saint-Denis 97400; 26 860
Saint-Denis-de-Pile 33910;  590
Saint-Denis-en-Val 45560;  450
Saint-Denis-lès-Bourg 01000;  430
Saint-Didier-au-Mont-d'Or 69370;  370
Saint-Dié-des-Vosges 88100; 2 480
Saint-Dizier 52100; 2 540
Saint-Doulchard 18230;  550
Sainte-Adresse 76310;  400
Sainte-Anne 97180; 3 460
Sainte-Eulalie 33560;  410
Sainte-Foy-lès-Lyon 69110; 1 530
Sainte-Geneviève-des-Bois 91700; 3 020
Saint-Égrève 38120; 1 170
Sainte-Livrade-sur-Lot 47110;  760
Sainte-Luce 97228; 1 190
Sainte-Luce-sur-Loire 44980; 1 170
Sainte-Marie 97230; 2 290
Sainte-Marie 97438; 6 120
Sainte-Marie-aux-Mines 68160;  410
Sainte-Maxime 83120; 1 650
Sainte-Pazanne 44680;  480
Sainte-Rose 97115; 2 940
Sainte-Rose 97439; 1 460
Saintes 17100; 2 640
Sainte-Savine 10300; 1 150
Sainte-Sigolène 43600;  520
Sainte-Soulle 17220;  390
Saint-Esprit 97270; 1 120
Saint-Estève 66240; 1 100
Sainte-Suzanne 97441; 4 310
Saint-Étienne 42000; 20 930
Saint-Étienne-au-Mont 62360;  470
Saint-Étienne-de-Montluc 44360;  490
Saint-Étienne-du-Rouvray 76800; 3 430
Saint-Fargeau-Ponthierry 77310; 1 220
Saint-Florent-sur-Cher 18400;  490
Saint-Flour 15100;  530
Saint-Fons 69190; 2 580
Saint-François 97118; 2 590
Saint-Galmier 42330;  360
Saint-Gaudens 31800; 1 360
Saint-Gély-du-Fesc 34980;  580
Saint-Genest-Lerpt 42530;  460
Saint-Genis-Laval 69230; 1 390
Saint-Genis-les-Ollières 69290;  350
Saint-Genis-Pouilly 01630;  980
Saint-Georges-de-Didonne 17110;  450
Saint-Georges-d'Orques 34680;  570
Saint-Germain-du-Puy 18390;  360
Saint-Germain-en-Laye 78100; 2 930
Saint-Germain-lès-Arpajon 91180;  820
Saint-Germain-lès-Corbeil 91250;  460
Saint-Gervais-les-Bains 74170;  420
Saint-Gilles 30800; 2 250
Saint-Gilles 35590;  400
Saint-Gilles-Croix-de-Vie 85800;  700
Saint-Girons 09200;  730
Saint-Gratien 95210; 1 950
Saint-Grégoire 35760;  650
Saint-Herblain 44800; 4 730
Saint-Hilaire-de-Riez 85270; 1 210
Saint-Hilaire-du-Harcouët 50600;  450
Saint-Ismier 38330;  340
Saint-Jacques-de-la-Lande 35136; 1 700
Saint-Jean 31240;  940
Saint-Jean-Bonnefonds 42650;  520
Saint-Jean-d'Angély 17400;  780
Saint-Jean-de-Boiseau 44640;  480
Saint-Jean-de-Braye 45800; 2 410
Saint-Jean-de-la-Ruelle 45140; 1 920
Saint-Jean-de-Luz 64500; 1 450
Saint-Jean-de-Maurienne 73300;  420
Saint-Jean-de-Monts 85160; 1 080
Saint-Jean-de-Védas 34430; 1 340
Saint-Jean-d'Illac 33127;  660
Saint-Jean-le-Blanc 45650;  830
Saint-Jorioz 74410;  420
Saint-Jory 31790; 1 040
Saint-Joseph 97212; 2 010
Saint-Joseph 97480; 8 830
Saint-Juéry 81160;  650
Saint-Julien-de-Concelles 44450;  520
Saint-Julien-en-Genevois 74160; 1 460
Saint-Julien-les-Villas 10800;  700
Saint-Junien 87200;  940
Saint-Just-en-Chaussée 60130;  640
Saint-Just-Saint-Rambert 42170;  940
Saint-Laurent-Blangy 62223;  690
Saint-Laurent-de-la-Salanque 66250; 1 260
Saint-Laurent-de-Mure 69720;  370
Saint-Laurent-du-Maroni 97320; 6 110
Saint-Laurent-du-Var 06700; 2 760
Saint-Laurent-Médoc 33112;  460
Saint-Leu 97436; 8 380
Saint-Leu-la-Forêt 95320; 1 110
Saint-Lô 50000; 1 860
Saint-Loubès 33450;  910
Saint-Louis 68300; 2 560
Saint-Louis 97434; 12 270
Saint-Lyphard 44410;  350
Saint-Lys 31470;  750
Saint-Macaire-en-Mauges 49450; 1 770
Saint-Maixent-l'École 79400;  590
Saint-Malo 35400; 4 670
Saint-Mandé 94160; 1 380
Saint-Mandrier-sur-Mer 83430;  400
Saint-Marcel 71380;  580
Saint-Marcel-lès-Valence 26320;  500
Saint-Marcellin 38160;  810
Saint-Marcellin-en-Forez 42680;  390
Saint-Mars-du-Désert 44850;  310
Saint-Martin-Boulogne 62280; 1 050
Saint-Martin-de-Crau 13310; 1 460
Saint-Martin-de-Seignanx 40390;  530
Saint-Martin-d'Hères 38400; 3 050
Saint-Martin-d'Uriage 38410;  290
Saint-Martin-la-Pallu 86380;  430
Saint-Martin-le-Vinoux 38950;  520
Saint-Martin-lez-Tatinghem 62500;  410
Saint-Maur-des-Fossés 94100; 4 900
Saint-Maurice 94410; 1 040
Saint-Maurice-l'Exil 38550;  610
Saint-Max 54130;  900
Saint-Maximin-la-Sainte-Baume 83470; 1 520
Saint-Médard-en-Jalles 33160; 2 320
Saint-Memmie 51470;  520
Saint-Michel-Chef-Chef 44730;  490
Saint-Michel-sur-Orge 91240; 1 920
Saint-Mitre-les-Remparts 13920;  490
Saint-Nazaire 44600; 7 470
Saint-Nicolas-de-Port 54210;  520
Saint-Nom-la-Bretèche 78860;  230
Saint-Omer 62500; 1 970
Saint-Orens-de-Gameville 31650; 1 160
Saint-Ouen 93400; 6 750
Saint-Ouen-l'Aumône 95310; 2 660
Saint-Pathus 77178;  390
Saint-Paul 97460; 20 750
Saint-Paul-lès-Dax 40990; 1 430
Saint-Paul-Trois-Châteaux 26130;  890
Saint-Pée-sur-Nivelle 64310;  560
Saint-Péray 07130;  590
Saint-Philbert-de-Grand-Lieu 44310;  630
Saint-Philippe 97442; 1 270
Saint-Pierre 97410; 18 830
Saint-Pierre-des-Corps 37700; 2 060
Saint-Pierre-d'Irube 64990;  480
Saint-Pierre-d'Oléron 17310;  780
Saint-Pierre-du-Mont 40280;  830
Saint-Pierre-du-Perray 91280;  800
Saint-Pierre-en-Auge 14170;  560
Saint-Pierre-en-Faucigny 74800;  600
Saint-Pierre-lès-Elbeuf 76320;  770
Saint-Pierre-lès-Nemours 77140;  400
Saint-Pol-de-Léon 29250;  630
Saint-Pol-sur-Ternoise 62130;  460
Saint-Pourçain-sur-Sioule 03500;  380
Saint-Priest 69800; 4 840
Saint-Priest-en-Jarez 42270;  440
Saint-Privat-des-Vieux 30340;  490
Saint-Prix 95390;  510
Saint-Pryvé-Saint-Mesmin 45750;  510
Saint-Quentin 02100; 7 370
Saint-Quentin-Fallavier 38070;  500
Saint-Rambert-d'Albon 26140;  790
Saint-Raphaël 83700; 3 540
Saint-Rémy 71100;  470
Saint-Rémy-de-Provence 13210;  900
Saint-Rémy-lès-Chevreuse 78470;  370
Saint-Renan 29290;  510
Saintry-sur-Seine 91250;  350
Saint-Saturnin-lès-Avignon 84450;  430
Saint-Saulve 59880; 1 120
Saint-Sébastien-de-Morsent 27180;  380
Saint-Sébastien-sur-Loire 44230; 2 130
Saint-Sever 40500;  410
Saint-Sulpice-la-Pointe 81370;  770
Saint-Symphorien-d'Ozon 69360;  380
Saint-Thibault-des-Vignes 77400;  510
Saint-Vallier 71230;  720
Saint-Victoret 13730;  620
Saint-Vincent-de-Tyrosse 40230;  850
Saint-Vit 25410;  330
Saint-Xandre 17138;  450
Saint-Yrieix-la-Perche 87500;  480
Saint-Yrieix-sur-Charente 16710;  620
Saint-Zacharie 83640;  390
Salazie 97433; 1 460
Salbris 41300;  350
Saleilles 66280;  490
Sallanches 74700; 1 130
Sallaumines 62430; 1 150
Salles 33770;  700
Salon-de-Provence 13300; 5 160
Sanary-sur-Mer 83110; 1 390
Sannois 95110; 2 500
Santes 59211;  330
Saran 45770; 1 590
Sarcelles 95200; 7 570
Sarlat-la-Canéda 24200;  970
Sarrebourg 57400; 1 330
Sarreguemines 57200; 2 300
Sarrians 84260;  630
Sartrouville 78500; 4 910
Sarzeau 56370;  650
Sassenage 38360;  740
Sathonay-Camp 69580;  460
Saujon 17600;  660
Saulx-les-Chartreux 91160;  410
Saumur 49400; 3 230
Sausheim 68390;  410
Sausset-les-Pins 13960;  550
Sautron 44880;  480
Sauvian 34410;  530
Savenay 44260;  630
Saverne 67700; 1 170
Savigny-le-Temple 77176; 2 950
Savigny-sur-Orge 91600; 3 060
Scaër 29390;  530
Sceaux 92330; 1 100
Schiltigheim 67300; 4 090
Schoelcher 97233; 2 140
Schweighouse-sur-Moder 67590;  360
Sciez 74140;  570
Scionzier 74950;  970
Seclin 59113; 1 360
Sedan 08200; 2 620
Segré 49500; 1 400
Seichamps 54280;  300
Sélestat 67600; 1 910
Seloncourt 25230;  530
Séméac 65600;  460
Sénas 13560;  690
Séné 56860;  760
Senlis 60300; 1 110
Sens 89100; 3 110
Septèmes-les-Vallons 13240;  990
Sérignan 34410; 1 070
Serris 77700;  830
Servian 34290;  600
Sète 34200; 5 550
Sevran 93270; 6 080
Sèvremont 85700;  530
Sèvres 92310; 1 670
Seysses 31600;  890
Seyssinet-Pariset 38170;  770
Seyssins 38180;  470
Sézanne 51120;  500
Sigean 11130;  690
Sillingy 74330;  430
Simiane-Collongue 13109;  380
Sin-le-Noble 59450; 2 100
Sisteron 04200;  830
Six-Fours-les-Plages 83140; 3 140
Soissons 02200; 3 910
Soisy-sous-Montmorency 95230; 1 440
Soisy-sur-Seine 91450;  460
Solliès-Pont 83210; 1 020
Solliès-Toucas 83210;  410
Somain 59490; 1 630
Sommières 30250;  660
Sorbiers 42290;  490
Sorgues 84700; 2 360
Sotteville-lès-Rouen 76300; 3 280
Souffelweyersheim 67460;  570
Souleuvre en Bocage 14350;  590
Soultz-Haut-Rhin 68360;  590
Souppes-sur-Loing 77460;  550
Soustons 40140;  870
Soyaux 16800; 1 200
Stains 93240; 4 810
Stiring-Wendel 57350; 1 230
Strasbourg 67000; 33 040
Sucé-sur-Erdre 44240;  470
Sucy-en-Brie 94370; 1 740
Sully-sur-Loire 45600;  600
Suresnes 92150; 3 700
Surgères 17700;  680
Sury-le-Comtal 42450;  560
Surzur 56450;  350
Tain-l'Hermitage 26600;  650
Talange 57525;  740
Talant 21240; 1 000
Talence 33400; 4 100
Talmont-Saint-Hilaire 85440;  850
Tarare 69170; 1 010
Tarascon 13150; 2 180
Tarbes 65000; 5 580
Tarnos 40220; 1 180
Tassin-la-Demi-Lune 69160; 1 600
Taverny 95150; 1 990
Templeuve 59242;  420
Tergnier 02700; 1 730
Ternay 69360;  390
Terrasson-Lavilledieu 24120;  670
Terville 57180;  630
Téteghem 59229;  560
Thann 68800;  770
Thaon-les-Vosges 88150;  860
Theix 56450;  630
Thiais 94320; 2 670
Thiers 63300; 1 720
Thionville 57100; 3 840
Thizy-les-Bourgs 69240;  460
Thoiry 01710;  360
Thônes 74230;  430
Thonon-les-Bains 74200; 3 970
Thorigné-Fouillard 35235;  580
Thorigny-sur-Marne 77400;  870
Thouaré-sur-Loire 44470;  740
Thouars 79100; 1 340
Thue et Mue 14740;  390
Thuir 66300; 1 150
Thyez 74300;  520
Tignieu-Jameyzieu 38230;  590
Tinchebray-Bocage 61800;  340
Tinqueux 51430;  840
Tomblaine 54510;  790
Tonnay-Charente 17430;  830
Tonneins 47400; 1 050
Torcy 77200; 2 200
Toul 54200; 1 710
Toulon 83000; 16 400
Toulouges 66350;  740
Toulouse 31000; 64 750
Tourcoing 59200; 13 610
Tournan-en-Brie 77220;  580
Tournefeuille 31170; 2 470
Tournon-sur-Rhône 07300; 1 300
Tournus 71700;  530
Tours 37000; 16 520
Tourves 83170;  490
Trans-en-Provence 83720;  590
Trappes 78190; 4 190
Trèbes 11800;  560
Trégueux 22950;  680
Trégunc 29910;  530
Treillières 44119;  670
Trélazé 49800; 1 890
Trélissac 24750;  510
Tremblay-en-France 93290; 3 770
Tresses 33370;  360
Trets 13530;  850
Trévoux 01600;  600
Triel-sur-Seine 78510;  940
Trignac 44570;  820
Trilport 77470;  370
Trith-Saint-Léger 59125;  710
Trois-Rivières 97114; 1 200
Troyes 10000; 8 480
Tulle 19000; 1 450
Tullins 38210;  620
Uckange 57270;  830
Ugine 73400;  520
Unieux 42240;  780
Urrugne 64122;  850
Ussel 19200;  680
Ustaritz 64480;  720
Uzès 30700;  840
Vaires-sur-Marne 77360; 1 020
Vaison-la-Romaine 84110;  610
Val d'Erdre-Auxence 49370;  340
Valbonne 06560;  940
Valdahon 25800;  350
Valdallière 14410;  450
Val-de-Moder 67350;  370
Val-de-Reuil 27100; 1 560
Valdoie 90300;  560
Valence 26000; 8 320
Valence 82400;  720
Valenciennes 59300; 6 110
Valentigney 25700; 1 280
Valenton 94460; 1 530
Vallauris 06220; 3 270
Vallet 44330;  640
Vallons-de-l'Erdre 44540;  520
Valognes 50700;  400
Valréas 84600; 1 060
Vandoeuvre-lès-Nancy 54500; 2 800
Vannes 56000; 5 030
Vanves 92170; 1 970
Varces-Allières-et-Risset 38760;  440
Varennes-Vauzelles 58640;  590
Vaucresson 92420;  480
Vaugneray 69670;  370
Vaujours 93410;  700
Vaulx-en-Velin 69120; 6 330
Vauréal 95490; 1 400
Vauvert 30600; 1 430
Vaux-le-Pénil 77000;  830
Vaux-sur-Seine 78740;  410
Veauche 42340;  550
Vedène 84270; 1 190
Veigné 37250;  440
Velaux 13880;  540
Vélizy-Villacoublay 78140; 1 380
Vence 06140; 1 490
Vendargues 34740;  660
Vendenheim 67550;  460
Vendin-le-Vieil 62880;  720
Vendôme 41100; 1 520
Venelles 13770;  510
Vénissieux 69200; 8 850
Ventabren 13122;  500
Verdun 55100; 1 890
Vergèze 30310;  530
Vernaison 69390;  340
Verneuil-sur-Avre 27130;  720
Verneuil-sur-Seine 78480; 1 240
Verneuil-sur-Vienne 87430;  200
Vernon 27200; 2 720
Vernouillet 28500; 1 440
Vernouillet 78540;  730
Vern-sur-Seiche 35770;  650
Verrières-en-Anjou 49480;  630
Verrières-le-Buisson 91370;  800
Versailles 78000; 4 970
Vertou 44120; 1 720
Vert-Saint-Denis 77240;  730
Vesoul 70000; 1 770
Vétraz-Monthoux 74100; 1 020
Vexin-sur-Epte 27630;  430
Vezin-le-Coquet 35132;  560
Viarmes 95270;  340
Vias 34450;  990
Vic-en-Bigorre 65500;  440
Vichy 03200; 3 010
Vic-le-Comte 63270;  370
Vidauban 83550; 1 300
Vienne 38200; 3 120
Vierzon 18100; 3 040
Vieux-Condé 59690; 1 170
Vieux-Habitants 97119; 1 290
Vif 38450;  510
Vigneux-de-Bretagne 44360;  380
Vigneux-sur-Seine 91270; 2 800
Villabé 91100;  400
Villard-Bonnot 38190;  470
Villars 42390;  540
Villars-les-Dombes 01330;  330
Villebon-sur-Yvette 91140;  560
Villecresnes 94440;  640
Ville-d'Avray 92410;  720
Villefontaine 38090; 2 400
Villefranche-de-Lauragais 31290;  400
Villefranche-de-Rouergue 12200; 1 130
Villefranche-sur-Mer 06230;  380
Villefranche-sur-Saône 69400; 4 260
Villejuif 94800; 6 020
Ville-la-Grand 74100;  870
Villemandeur 45700;  630
Villemoisson-sur-Orge 91360;  490
Villemomble 93250; 2 800
Villemur-sur-Tarn 31340;  610
Villenave-d'Ornon 33140; 4 070
Villeneuve-d'Ascq 59491; 6 030
Villeneuve-en-Retz 44580;  400
Villeneuve-la-Garenne 92390; 3 040
Villeneuve-le-Roi 94290; 1 750
Villeneuve-lès-Avignon 30400; 1 040
Villeneuve-lès-Maguelone 34750;  930
Villeneuve-Loubet 06270; 1 710
Villeneuve-Saint-Georges 94190; 3 490
Villeneuve-sur-Lot 47300; 2 810
Villeneuve-sur-Yonne 89500;  480
Villeneuve-Tolosane 31270; 1 010
Villennes-sur-Seine 78670;  420
Villenoy 77124;  440
Villeparisis 77270; 2 410
Villepinte 93420; 4 080
Villepreux 78450;  670
Villerest 42300;  320
Villers-Cotterêts 02600; 1 230
Villers-le-Lac 25130;  370
Villers-lès-Nancy 54600;  850
Villers-Saint-Paul 60870;  700
Villerupt 54190;  840
Villetaneuse 93430; 1 350
Villette-d'Anthon 38280;  250
Villeurbanne 69100; 17 620
Villiers-le-Bel 95400; 3 530
Villiers-sur-Marne 94350; 2 830
Vincennes 94300; 3 770
Vindry-sur-Turdine 69490;  320
Vineuil 41350;  520
Vire 14500; 1 450
Viriat 01440;  470
Viroflay 78220;  880
Viry 74580;  400
Viry-Châtillon 91170; 3 020
Vitré 35500; 1 700
Vitrolles 13127; 3 970
Vitry-le-François 51300; 1 410
Vitry-sur-Seine 94400; 9 370
Vittel 88800;  440
Vizille 38220;  550
Voiron 38500; 1 970
Voisins-le-Bretonneux 78960;  550
Voreppe 38340;  630
Vouneuil-sous-Biard 86580;  390
Wallers 59135;  590
Wambrechies 59118;  750
Wasquehal 59290; 1 700
Wasselonne 67310;  430
Wattignies 59139; 1 430
Wattrelos 59150; 4 780
Wavrin 59136;  570
Waziers 59119; 1 090
Wervicq-Sud 59117;  430
Wimereux 62930;  490
Wingles 62410;  920
Wintzenheim 68920;  590
Wissembourg 67160;  580
Wissous 91320;  450
Witry-lès-Reims 51420;  320
Wittelsheim 68310;  880
Wittenheim 68270; 1 450
Woippy 57140; 1 960
Wormhout 59470;  330
Yerres 91330; 1 760
Yffiniac 22120;  460
Yssingeaux 43200;  620
Yutz 57110; 1 560
Yvetot 76190; 1 010
Yzeure 03400;  960
Communes de moins de 5 000 habitants ou données indisponibles;1 853 230
Total;6 241 690
Les données présentées dans ce tableau sont arrondies à la dizaine. Pour cette raison, la somme des valeurs d’une ligne (ou d’une colonne) peut légèrement différer du total affiché.
